ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0014,02465,2,0210,000000,ALVI,3480,31,6,37,3443
0014,03160,3,0210,000000,ALVI,10740,96,18,114,10626
0014,00631,11,0210,000000,ALVI,22120,200,38,237,21883
0014,00106,37,0210,000000,ALVI,128080,1156,218,1372,126708
0014,04020,2,0210,000000,ALVI,7900,71,14,85,7815
0014,02726,21,0210,000000,ALVI,104730,944,179,1123,103607
0014,02441,11,0210,000000,ALVI,53040,478,91,568,52472
0014,02954,12,0210,000000,ALVI,33390,300,57,356,33034
0014,00628,2,0210,000000,ALVI,6700,61,11,71,6629
0014,00763,10,0210,000000,ALVI,38600,348,66,412,38188
0014,04011,4,0210,000000,ALVI,14750,133,24,158,14592
0014,02550,7,0210,000000,ALVI,32980,363,69,431,32549
0014,02531,5,0210,000000,ALVI,14710,133,26,157,14553
0014,00651,10,0210,000000,ALVI,44030,396,75,474,43556
0014,03717,8,0210,000000,ALVI,58290,526,99,625,57665
0014,01152,46,0210,000000,ALVI,89850,813,157,963,88887
0014,03184,8,0210,000000,ALVI,20900,188,38,225,20675
0014,00083,10,0210,000000,ALVI,22250,201,39,239,22011
0014,00160,7,0210,000000,ALVI,35410,333,64,397,35013
0014,01827,1,0210,000000,ALVI,10000,90,17,107,9893
0014,03317,6,0210,000000,ALVI,146010,2297,435,2734,143276
0014,00686,4,0210,000000,ALVI,15800,160,31,191,15609
0014,03376,14,0210,000000,ALVI,50070,450,86,535,49535
0014,004305,2,0210,000000,ALVI,3980,36,7,43,3937
0014,03435,5,0210,000000,ALVI,20700,187,36,223,20477
0014,03568,4,0210,000000,ALVI,10610,96,19,113,10497
0014,01494,6,0210,000000,ALVI,24500,222,42,262,24238
0014,00574,8,0210,000000,ALVI,110048,1079,204,1285,108763
