ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,101152130772,23,0210,000000,GPMPOS,122460,1968,371,2339,120121
0012,151218861927,1,0210,000000,GPMPOS,24720,368,70,438,24282
0012,163811065672,19,0210,000000,GPMPOS,69070,1029,195,1224,67846
0012,559256987832,24,0210,000000,GPMPOS,97390,1484,282,1765,95625
0012,109794647177,8,0210,000000,GPMPOS,20470,304,58,364,20106
0012,117797453949,65,0210,000000,GPMPOS,257330,3835,726,4565,252765
0012,156778348324,75,0210,000000,GPMPOS,319390,0,0,0,319390
0012,124721095565,16,0210,000000,GPMPOS,61110,909,173,1083,60027
0012,123488864671,9,0210,000000,GPMPOS,29980,460,88,546,29434
0012,776490070323,26,0210,000000,GPMPOS,84520,1259,243,1498,83022
0012,137911506384,51,0210,000000,GPMPOS,218470,3314,627,3937,214533
0012,945550240272,1,0210,000000,GPMPOS,2200,33,6,39,2161
0012,776010362867,5,0210,000000,GPMPOS,45700,680,130,809,44891
0012,145647230023,1,0210,000000,GPMPOS,5500,82,16,98,5402
0012,972571802834,3,0210,000000,GPMPOS,8950,133,25,159,8791
0012,216390459806,19,0210,000000,GPMPOS,84190,1255,238,1491,82699
0012,767103087843,93,0210,000000,GPMPOS,537790,8012,1520,9534,528256
0012,543570750584,10,0210,000000,GPMPOS,48970,731,139,868,48102
0012,118653780889,13,0210,000000,GPMPOS,44520,690,130,818,43702
0012,776945488837,18,0210,000000,GPMPOS,101400,1551,296,1846,99554
0012,439554680005,14,0210,000000,GPMPOS,47450,707,133,842,46608
0012,823921668437,37,0210,000000,GPMPOS,175784,2623,497,3118,172666
0012,150292426109,64,0210,000000,GPMPOS,224870,3360,638,3999,220871
0012,973102815508,3,0210,000000,GPMPOS,8100,121,23,144,7956
0012,105026915405,20,0210,000000,GPMPOS,76320,1152,218,1369,74951
0012,154421449767,2,0210,000000,GPMPOS,9600,143,27,170,9430
0012,119937200169,14,0210,000000,GPMPOS,135030,2012,382,2394,132636
0012,230040926316,19,0210,000000,GPMPOS,79490,1186,223,1409,78081
0012,231295159674,73,0210,000000,GPMPOS,208490,3143,601,3736,204754
0012,170474920100,29,0210,000000,GPMPOS,110500,1713,325,2035,108465
0012,102558532215,7,0210,000000,GPMPOS,17270,258,49,306,16964
0012,669773092983,32,0210,000000,GPMPOS,155880,2460,465,2929,152951
0012,769046591608,10,0210,000000,GPMPOS,75760,1210,229,1439,74321
0012,258699300044,84,0210,000000,GPMPOS,333701,5018,957,5978,327723
0012,104491807609,35,0210,000000,GPMPOS,143740,2169,411,2577,141163
0012,140900427456,33,0210,000000,GPMPOS,114470,1706,320,2027,112443
0012,906895202776,11,0210,000000,GPMPOS,75500,1125,213,1339,74161
0012,773543361405,78,0210,000000,GPMPOS,364300,5742,1094,6822,357478
0012,144447669702,32,0210,000000,GPMPOS,138780,2069,389,2461,136319
0012,104998138502,52,0210,000000,GPMPOS,198580,2962,561,3517,195063
0012,136002162808,20,0210,000000,GPMPOS,80540,1315,252,1565,78975
0012,839361747203,48,0210,000000,GPMPOS,212640,3215,613,3823,208817
0012,102511855891,8,0210,000000,GPMPOS,25400,379,72,450,24950
0012,129884153475,3,0210,000000,GPMPOS,11900,0,0,0,11900
0012,831713341036,28,0210,000000,GPMPOS,137510,2091,396,2489,135021
0012,108992225091,10,0210,000000,GPMPOS,34500,514,97,612,33888
0012,150269126337,12,0210,000000,GPMPOS,42750,635,120,758,41992
0012,189601597372,7,0210,000000,GPMPOS,23780,358,66,426,23354
0012,245465515860,64,0210,000000,GPMPOS,317000,4721,899,5624,311376
0012,987880165192,17,0210,000000,GPMPOS,48940,741,140,879,48061
0012,112734534233,94,0210,000000,GPMPOS,548380,8198,1554,9747,538633
0012,775842270495,86,0210,000000,GPMPOS,363950,5589,1063,6663,357287
0012,161967915846,8,0210,000000,GPMPOS,43320,760,142,901,42419
0012,401710147171,18,0210,000000,GPMPOS,55400,828,156,981,54419
0012,773912858208,14,0210,000000,GPMPOS,189380,2999,568,3570,185810
0012,247243954626,59,0210,000000,GPMPOS,260650,3920,745,4673,255977
0012,123288049464,48,0210,000000,GPMPOS,218280,3263,621,3882,214398
0012,153961412645,53,0210,000000,GPMPOS,176880,2636,503,3137,173743
0012,116890921197,31,0210,000000,GPMPOS,130440,2098,401,2497,127943
0012,118824078116,57,0210,000000,GPMPOS,189280,2823,534,3353,185927
0012,159081400200,13,0210,000000,GPMPOS,56160,837,159,997,55163
